Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word,TRUE
Henson International Finance Ltd,10375,henson international finance,henson,Stephensons Rental Services Income Fund,12583,90.2,henson international,International,206505,92.6,henson international finance,National Finance,43130,94.6,Henson
Hitachi International Treasury Ltd,17805,hitachi international treasury,hitachi,Hitachi (SEAQ International),221867,94.4,hitachi international,International,206505,92.0,hitachi international treasury,International,206505,92.0,
Hypo Real Estate International Trust I,22366,hypo real estate international i,hypo,Hypo Real Estate Holding,18553,94.2,hypo real,Hypo Real Estate Holding,18553,94.2,hypo real estate,Hypo Real Estate Holding,18553,94.2,
IBM International Group Capital LLC,22387,ibm international group capital,ibm,IBM CAD Hedged Continental Depositary Receipts,154878,88.8,ibm international,International,206505,91.8,ibm international group,AB International Group,127814,95.2,
ICAP Group Holdings PLC,9396,icap group holdings,icap,Icape Holding,93571,95.0,icap group,TP ICAP Group,124853,92.4,icap group holdings,APX Group Holdings Inc,70084,96.0,ICAP
"ICG Holdings, Inc.",21287,icg holdings,icg,ICG Holdings Canada 'A',8842,93.8,icg holdings,AG Holdings,44740,96.0,icg holdings,AG Holdings,44740,96.0,ICG
ITT HOLDINGS LLC,24157,itt holdings,itt,Ittifak Holding,119920,96.2,itt holdings,AG Holdings,44740,96.0,itt holdings,AG Holdings,44740,96.0,ITT
Iaws Group PLC,2503,iaws group,iaws,Iaws Group 'A' (London),295234,92.2,iaws group,Securities Group,21982,93.4,iaws group,Securities Group,21982,93.4,
JCB FINANCE S.A.S.,8617,jcb finance,jcb,Jcbnext,110707,91.2,jcb finance,Jacob Finance,101627,91.2,jcb finance,Jacob Finance,101627,91.2,JCB
JM FINANCIAL SERVICES LIMITED,11680,jm financial services,jm,KJMC Financial Services,102050,99.0,jm financial,KJMC Financial Services,102050,92.6,jm financial services,Financial Services,109572,98.4,
Jinmao (China) Investments Holdings Limited,10521,jinmao (china) investments holdings,jinmao,China Jinmao Holdings Group,97456,91.6,jinmao (china),Hi,26603,82.2,jinmao (china) investments,Investments,42565,89.6,China JinMao
Jupiter International Group PLC,9045,jupiter international group,jupiter,Jupiter National,197270,94.8,jupiter international,International,206505,93.0,jupiter international group,AB International Group,127814,96.6,
KEB HANA BANK,17817,keb hana bank,keb,Keba Oil and Gas,65934,91.0,keb hana,Hana Securities,35106,89.4,keb hana bank,Hana Bank,178818,96.4,
KEB HANA BANK,3663,keb hana bank,keb,Keba Oil and Gas,65934,91.0,keb hana,Hana Securities,35106,89.4,keb hana bank,Hana Bank,178818,96.4,
KGI INTERNATIONAL HOLDINGS LIMITED,14840,kgi international holdings,kgi,Ykgi Holdings,114991,92.4,kgi international,Kangli International Holdings,101889,94.2,kgi international holdings,International Holdings,79284,98.4,KGI
LAND SECURITIES P L C,9031,land p l c,land,Calanda P,177803,92.6,land p,Midland Plastics,28297,92.4,land p l,Land,111227,91.4,
LIN Television Corporation,21376,lin television corporation,lin,Lines Television Corporation,74366,99.2,lin television,Television,51019,91.2,lin television corporation,Vision Corporation,105724,96.4,
"LPL HOLDINGS, INC.",22035,lpl holdings,lpl,Willplus Holdings,114889,96.6,lpl holdings,Holdings,206120,96.0,lpl holdings,Holdings,206120,96.0,LPL
"LYB INTERNATIONAL FINANCE III, LLC",24914,lyb international finance iii,lyb,International Molybdenum,48139,91.4,lyb international,International,206505,92.4,lyb international finance,National Finance,43130,94.2,
M&T Capital Trust I,21358,m&t capital i,m&t,M&T Bank (MIC),225050,90.4,m&t capital,Security Capital,200314,94.0,m&t capital i,Security Capital,76742,94.0,
"MMH HOLDINGS, INC.",21606,mmh holdings,mmh,Lammhults Design Group,179484,89.4,mmh holdings,Trust Holdings,51235,96.0,mmh holdings,Trust Holdings,51235,96.0,MMH
MONY Life Insurance Company,21423,mony life insurance company,mony,Mony Life Insurance Company of America,66631,96.6,mony life,Mony Life Insurance Company of America,66631,96.6,mony life insurance,Mony Life Insurance Company of America,66631,96.6,
MPH ACQUISITION HOLDINGS LLC,23848,mph acquisition holdings,mph,Symphony Holdings,105051,93.6,mph acquisition,MDH Acquisition Units,189105,89.6,mph acquisition holdings,SP Acquisition Holdings,200576,95.6,MPH
NB FINANCE LTD.,14971,nb finance,nb,HNB Finance,119459,99.0,nb finance,HNB Finance,119459,99.0,nb finance,HNB Finance,119459,99.0,NB
NRW.BANK,7643,nrw.bank,nrw.bank,Security Bank,107132,93.4,nrw.bank,Security Bank,107132,93.4,nrw.bank,Security Bank,107132,93.4,
"New York & Company, Inc.",20349,new york & company,new,News World Wu Company,121307,95.4,new york,New York Times Company 'B',198573,95.4,new york &,New York Times Company 'B',198573,87.39999999999999,
Ngex Resources Inc,4753,ngex resources,ngex,Ngex Resources (XETRA),314006,95.6,ngex resources,Ngex Resources (XETRA),314006,95.6,ngex resources,Ngex Resources (XETRA),314006,95.6,ngex resources
"Nissan Financial Services Co., Ltd.",13523,nissan financial services,nissan,Nissan France,20555,92.6,nissan financial,Financial Trust,64753,90.6,nissan financial services,Financial Services,109572,96.8,Nissan
Nomura Bank International plc,9052,nomura bank international,nomura,Nomura Holdings (SEAQ International),222411,94.4,nomura bank,Nomura,112291,87.8,nomura bank international,Bank International,221176,96.8,
Nordic Investment Bank,8215,nordic investment bank,nordic,Nordic Investmen,28902,96.8,nordic investment,Nordic Investmen,28902,96.8,nordic investment bank,Nordic Investmen,28902,96.8,
OHL Investments S.A.,15267,ohl investments,ohl,Kohls Brazilian Depositary Receipt,149549,89.0,ohl investments,Investments,42565,97.0,ohl investments,Investments,42565,97.0,OHL
"ONEMAIN FINANCIAL HOLDINGS, INC.",24015,onemain financial holdings,onemain,Onemain Holdings,134764,95.2,onemain financial,Securities Financial,57376,90.2,onemain financial holdings,Financial Trust,64753,90.2,
OP Financial Ltd,10264,op financial,op,Peoples Financial,131268,96.6,op financial,Financial Securities,72530,97.2,op financial,Financial Securities,72530,97.2,OP
P2P Global Investments PLC,9661,p2p global investments,p2p,P2P Transport,3171,89.2,p2p global,Global,109885,88.6,p2p global investments,Global Investments,119073,98.0,P2P
"PECO Energy Capital, L.P.",21464,peco energy capital,peco,Peco Energy Company,75847,95.8,peco energy,Peco Energy Company,75847,95.8,peco energy capital,Peco Energy Capital Trust I Preferred Trust Receipt,146507,93.2,
"PICO Holdings, Inc.",20392,pico holdings,pico,Pico Holdings (XETRA),307805,95.2,pico holdings,Holdings,206120,95.2,pico holdings,Holdings,206120,95.2,
"PMX INDUSTRIES, INC.",21533,pmx industries,pmx,PMX Communities,56834,92.4,pmx industries,AG Industries,32001,96.6,pmx industries,AG Industries,32001,96.6,
