Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
Watson Pharmaceuticals Inc,1896,watson pharmaceuticals,watson,Watson Pharmaceuticals (XETRA),309080,97.0,watson pharmaceuticals,Watson Pharmaceuticals (XETRA),309080,97.0,watson pharmaceuticals,Watson Pharmaceuticals (XETRA),309080,97.0
Xcite Energy Resources Limited,9677,xcite energy resources,xcite,Xcite Energy (TSX Venture),216374,94.2,xcite energy,Xcite Energy,51804,94.2,xcite energy resources,Energy Resources,64531,96.8
YAPI KREDI FAKTORING ANONIM SIRKETI,18251,yapi kredi faktoring anonim sirketi,yapi,Yapi Kredi Yatirim Ortakligi B,44479,92.4,yapi kredi,Yapi Kredi Yatirim Ortakligi B,44479,92.4,yapi kredi faktoring,Yapi Kredi,44477,88.8
YAPI KREDI FAKTORING ANONIM SIRKETI,18246,yapi kredi faktoring anonim sirketi,yapi,Yapi Kredi Yatirim Ortakligi B,44479,92.4,yapi kredi,Yapi Kredi Yatirim Ortakligi B,44479,92.4,yapi kredi faktoring,Yapi Kredi,44477,88.8
YTL Corp Finance (Labuan) Limited,15857,ytl corp finance (labuan),ytl,YTL Corporation 'A',174454,91.0,ytl corp,YTL Corporation 'A',174454,91.0,ytl corp finance,INA,65640,84.2
"ZAYO GROUP, LLC",22977,zayo group,zayo,Zayo Group Holdings,61885,93.8,zayo group,Zayo Group Holdings,61885,93.8,zayo group,Zayo Group Holdings,61885,93.8
ZEAL Network SE,9702,zeal network se,zeal,Zeal Network N,90730,98.0,zeal network,Zeal Network N,90730,98.0,zeal network se,Network Security,66841,92.8
ZENECA WILMINGTON INC,23970,zeneca wilmington,zeneca,Astrazeneca (Mexico),216808,90.8,zeneca wilmington,Wilmington,127652,94.8,zeneca wilmington,Wilmington,127652,94.8
Zeneca Inc,21239,zeneca,zeneca,Astrazeneca,124426,94.2,zeneca,Astrazeneca,124426,94.2,zeneca,Astrazeneca,124426,94.2
Ziggo B.V.,16290,ziggo b.v.,ziggo,Ziggo,23823,93.4,ziggo b.v.,Ziggo,23823,93.4,ziggo b.v.,Ziggo,23823,93.4
Ziggo Bond Company B.V.,16301,ziggo bond company b.v.,ziggo,Ziggo Unsponsored ADR 2:1,211612,90.0,ziggo bond,Ziggo,23823,87.2,ziggo bond company,Trust Company,4284,89.4
Zillow Inc,23254,zillow,zillow,ZIL,115075,93.4,zillow,ZIL,115075,93.4,zillow,ZIL,115075,93.4
Zip Co Ltd,3478,zip co,zip,Zipcar,61897,93.4,zip co,Zip,87312,93.4,zip co,Zip,87312,93.4
