Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
Sedna Finance Corporation,14757,DNA,36046,90,"[('DNA', 90), ('INA', 90), ('NC&', 90), ('Kuwait Finance House', 86), ('AU Small Finance Bank', 86), (""Group Finance Galicia 'B'"", 86), ('The Housing Bank for Trade and Finance', 86), ('Asia Al Iraq Isbk for Investment and Finance', 86), ('Al Taif Isbk for Investment and Finance', 86), ('Apna Micro Finance Bank', 86)]"
EFG Hellas (Cayman Islands) Limited,14758,Island Capital,31667,90,"[('Island Capital', 90), ('Cayman Corporation', 90), ('Land', 90), ('Cyclon Hellas', 86), ('Andrimer Hellas', 86), ('Iktinos Hellas', 86), ('Ko JA (Cayman)', 86), ('Channel Islands and International Investment Trust', 86), ('Landssimi Islands', 86), ('Newsphone Hellas', 86)]"
BA-CA Finance (Cayman) Limited,14759,Man AG,150696,90,"[('Man AG', 90), ('Man AG', 90), ('INA', 90), ('Cayman Corporation', 90), ('Man AG', 90), ('Geo Finance', 86), ('Cayman Golden Century Wheel Group', 86), ('Prinx Chengshan (Cayman) Holding', 86), ('World Known MFG Cayman Ordinary Shares', 86), ('Farmers Merchants Bank Long Beach CA', 86)]"
CSN Islands IX Corp.,14760,NDS,17262,90,"[('NDS', 90), ('Island Capital', 90), ('Land', 90), ('Bank of the Philippines Islands', 86), ('IX Net Zero', 86), ('R R Securities', 86), ('Channel Islands and International Investment Trust', 86), ('Decs Trust IX', 86), ('Mcneil Real Estate Units Limited Partnership IX', 86), ('Public Storage Properties IX A', 86)]"
BIE-Bank & Trust Ltd.,14761,Security Bank,136665,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('IE', 90), ('NK', 90), ('Capital A', 90)]"
Credit Suisse Investment Products (Asia Pacifi,14762,Investment Trust Corporation,129028,90,"[('Investment Trust Corporation', 90), ('Investment Trust Corporation', 90), ('Trust Invest', 90), ('E-Invest', 90), ('Investment Trust Corporation', 90), ('Capital Product', 90), ('Air Asia Company', 86), ('Sumitomo Precision Products', 86), ('Advanced Technical Products', 86), ('Pacific Safety Products', 86)]"
China Overseas Finance (Cayman) I Limited,14763,Cayman Corporation,78346,90,"[('Cayman Corporation', 90), ('DP Aircraft I', 86), ('Finance Leasing', 86), ('China Southern Power Grid Energy Efficiency and Clean Energy A', 86), ('China Network Media', 86), ('GC China Turbine', 86), ('Geo Finance', 86), ('China Energy', 86), ('China Motor', 86), ('China Capital Enterprises', 86)]"
The Trafford Centre Finance Limited,14764,Centre Capital,117481,90,"[('Centre Capital', 90), ('Finance Leasing', 86), ('Geo Finance', 86), ('Asia Al Iraq Isbk for Investment and Finance', 86), ('Bimputh Finance', 86), ('Ipdc Finance', 86), ('Singapura Finance', 86), ('The Bank of Khyber', 86), ('The Bank of Punjab', 86), ('The Bank of Toyama', 86)]"
Hutchison Whampoa Finance(05) Limited,14765,Hutchison Whampoa,45634,90,"[('Hutchison Whampoa', 90), ('Finance Leasing', 86), ('Geo Finance', 86), ('Asia Al Iraq Isbk for Investment and Finance', 86), ('Bimputh Finance', 86), ('Ipdc Finance', 86), ('Singapura Finance', 86), ('The International Bank for Trade and Finance', 86), ('CFS Finance (United States) Merger 13/05/93', 86), ('Kenya Finance Bank', 86)]"
VOTO-VOTORANTIM OVERSEAS TRADING OPERATIONS IV,14766,Biopower Operations,703,86,"[('Biopower Operations', 86), ('United Overseas Bank', 86), ('Indian Overseas Bank', 86), ('Bank of Syria and Overseas', 86), ('BAC Capital Trust IV', 86), ('Bank of Overseas Chinese', 86), ('Brindaban Holdings and Trading', 86), ('CFB Capital Trust IV', 86), (""Chase Capital IV Capital Securities Series 'D'"", 86), ('Corts Trust IV 7%', 86)]"
MTFG Capital Finance Limited,14767,MTF,37939,90,"[('MTF', 90), ('INA', 90), ('NC&', 90), ('MTD Finance', 87), ('Kuwait Finance House', 86), ('GPO Finance Banorte', 86), ('AU Small Finance Bank', 86), (""Group Finance Galicia 'B'"", 86), ('The Housing Bank for Trade and Finance', 86), ('Asia Al Iraq Isbk for Investment and Finance', 86)]"
Resona Preferred Global Securities (Cayman) Li,14768,Global,90599,90,"[('Global', 90), ('Cayman Corporation', 90), ('Global', 90), ('Globa', 90), ('Global Ecology', 86), ('Spire Global A', 86), ('Beam Global', 86), ('G P Global Power', 86), ('Global Bioenergies', 86), ('Global Clean Energy', 86)]"
First Dominion Funding III,14769,First Capital Corporation,169089,90,"[('First Capital Corporation', 90), ('First Capital Corporation', 90), ('First Capital Corporation', 90), ('First Capital Corporation', 90), ('First Capital Corporation', 90), ('First Capital Corporation', 90), ('Dominion Securities', 90), ('First Capital Corporation', 90), ('Inion', 90), ('Firs', 90)]"
KBC Investments Cayman Islands Limited,14770,Capital Investments,29218,90,"[('Capital Investments', 90), ('Capital Investments', 90), ('Island Capital', 90), ('Cayman Corporation', 90), ('Investment Trust Corporation', 90), ('Land', 90), ('Investment Trust Corporation', 90), ('Trust Invest', 90), ('Investment Trust Corporation', 90), ('Aardvark Investments', 86)]"
Shinsei Finance II (Cayman) Limited,14771,Cayman Corporation,78346,90,"[('Cayman Corporation', 90), ('Finance Leasing', 86), ('Geo Finance', 86), ('Shinsei Bank Limited', 86), ('Asia Al Iraq Isbk for Investment and Finance', 86), ('Al Taif Isbk for Investment and Finance', 86), ('Bimputh Finance', 86), ('Ipdc Finance', 86), ('National Housing Finance and Investment', 86), ('Singapura Finance', 86)]"
Shinsei Finance (Cayman) Limited,14772,NSE,232,90,"[('NSE', 90), ('SHI', 90), ('Man AG', 90), ('Man AG', 90), ('INA', 90), ('Cayman Corporation', 90), ('Man AG', 90), ('Finance Leasing', 86), ('Geo Finance', 86), ('World Known MFG Cayman Ordinary Shares', 86)]"
AIG-FP Private Funding Cayman Limited,14773,Cayman Corporation,78346,90,"[('Cayman Corporation', 90), ('Carbotrade Private', 86), ('RBS Capital Funding Trust VI 6.25%', 86), ('Ko JA (Cayman)', 86), ('LM Funding America', 86), ('Ask Funding', 86), ('Asta Funding', 86), ('Austin Funding', 86), ('BBVA Capital Funding', 86), ('Criterion Dow Jones AIG Commodity Index Fund Units', 86)]"
UOB Cayman I Limited,14774,Man AG,150696,90,"[('Man AG', 90), ('Man AG', 90), ('Cayman Corporation', 90), ('CA', 90), ('Man AG', 90), ('Abwicklungsgesellschaft Biogas I', 86), ('Abwicklungsgesellschaft Biogas I (XETRA)', 86), ('C T I Traffic Industries', 86), ('Cayman Engley Industrial', 86), ('Cayman Golden Century Wheel Group', 86)]"
