Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
Morgan Stanley & Co. International plc,9140,morgan stanley & international,morgan,Morgan Stanley Income Securities Nav,238264,94.6,morgan stanley,Morgan Stanley Capital Trust,66644,94.6,morgan stanley &,Morgan Stanley,198268,92.8
Morgan Stanley (Jersey) Limited,12408,morgan stanley (jersey),morgan,Morgan Stanley (XETRA),264780,96.8,morgan stanley,Morgan Stanley (XETRA),264780,96.8,morgan stanley (jersey),Morgan Stanley,198268,95.19999999999999
Morgan Stanley Aircraft Finance,21532,morgan stanley aircraft finance,morgan,Morgan Stanley Finance Unit,198284,95.19999999999999,morgan stanley,Morgan Stanley Finance Unit,198284,95.19999999999999,morgan stanley aircraft,Morgan Stanley,132920,92.39999999999999
Morgan Stanley Asia Products Limited,14801,morgan stanley asia products,morgan,Morgan Stanley DS,189235,95.19999999999999,morgan stanley,Morgan Stanley DS,189235,95.19999999999999,morgan stanley asia,Morgan Stanley Asia-Pacific Fund,145845,94.0
Morgan Stanley Asia Securities Products LLC,14734,morgan stanley asia products,morgan,Morgan Stanley DS,189235,95.19999999999999,morgan stanley,Morgan Stanley DS,189235,95.19999999999999,morgan stanley asia,Morgan Stanley Asia-Pacific Fund,145845,94.0
MORGAN STANLEY CAPITAL (CAYMAN ISLANDS) LIMITE,14781,morgan stanley capital (cayman islands) limite,morgan,Morgan Stnly Capital Trust VIII,66647,93.6,morgan stanley,Morgan Stanley Capital Trust V 5.75% Capital Securities,60588,93.39999999999999,morgan stanley capital,Morgan Stanley Capital Trust V 5.75% Capital Securities,60588,93.39999999999999
"Morgan Stanley Dean Witter Bank, Inc.",22278,morgan stanley dean witter bank,morgan,Morgan Stanley Dean Witter 144A,74800,98.0,morgan stanley,Morgan Stanley Dean Witter 144A,74800,98.0,morgan stanley dean,Morgan Stanley Dean Witter 144A,74800,98.0
Morgan Stanley India Capital Private Ltd,11559,morgan stanley india capital private,morgan,Morgan Stanley Capital Trust,66644,95.19999999999999,morgan stanley,Morgan Stanley Capital Trust,66644,95.19999999999999,morgan stanley india,Morgan Stanley India Investment Fund,140886,93.8
MORGAN STANLEY INDIA PRIMARY DEALER PRIVATE LI,11815,morgan stanley india primary dealer private li,morgan,Morgan Stanley Mandatorily Exchange Marvell,74976,93.39999999999999,morgan stanley,Morgan Stanley Mandatorily Exchange Marvell,74976,93.39999999999999,morgan stanley india,Morgan Stanley India Investment Fund,140886,92.6
Morgan Stanley International Incorporated,22209,morgan stanley international,morgan,Morgan Stanley Capital Trust,66644,95.19999999999999,morgan stanley,Morgan Stanley Capital Trust,66644,95.19999999999999,morgan stanley international,Morgan Stanley,198268,93.39999999999999
MORGAN STANLEY INTERNATIONAL LIMITED,9201,morgan stanley international,morgan,Morgan Stanley Capital Trust,66644,95.19999999999999,morgan stanley,Morgan Stanley Capital Trust,66644,95.19999999999999,morgan stanley international,Morgan Stanley,198268,93.39999999999999
"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIAT",23984,morgan stanley private bank national associat,morgan,Morgan Stanley Financial Cap Unit,198282,92.8,morgan stanley,Morgan Stanley Financial Cap Unit,198282,92.8,morgan stanley private,Morgan Stanley,198268,89.4
Morgan Stanley Secured Financing LLC,23089,morgan stanley secured financing,morgan,Morgan Stanley Finance PLC Unit,198283,95.0,morgan stanley,Morgan Stanley Finance Unit,198284,95.0,morgan stanley secured,Morgan Stanley,132920,92.2
MORHOMES PLC,9907,morhomes,morhomes,Incorporated Homes,73620,95.39999999999999,morhomes,Incorporated Homes,73620,95.39999999999999,morhomes,Incorporated Homes,73620,95.39999999999999
Morneau Shepell Inc.,4945,morneau shepell,morneau,Morneau Sobeco Income Fund,159749,90.8,morneau shepell,Mo,60623,84.8,morneau shepell,Mo,60623,84.8
MORRILL & JANES BANK AND TRUST COMPANY,23162,morrill & janes bank and company,morrill,Rril,104017,84.4,morrill &,Rril,104017,84.4,morrill & janes,Rril,104017,84.4
MOSELLE CLO S.A.,15166,moselle clo,moselle,Rhin et Moselle,170074,90.8,moselle clo,OS,112545,86.2,moselle clo,OS,112545,86.2
"MoSys, Inc.",19003,mosys,mosys,OS,112545,91.39999999999999,mosys,OS,112545,91.39999999999999,mosys,OS,112545,91.39999999999999
Motability Operations Group Plc,9374,motability operations group,motability,Ability,127820,88.2,motability operations,Ability,127820,88.2,motability operations group,NS Group,66949,89.2
"MOTA-ENGIL, ENGENHARIA E CONSTRUCAO AFRICA, S.",17074,mota-engil engenharia e construcao africa s.,mota-engil,Mota-Engil SGPS (XETRA),313772,90.2,mota-engil engenharia,Engil,178387,84.0,mota-engil engenharia e,Engil,178387,84.0
MOTILAL OSWAL FINVEST LIMITED,11877,motilal oswal finvest,motilal,Motilal Oswal M50 ETF,163672,95.19999999999999,motilal oswal,Motilal Oswal M50 ETF,163672,95.19999999999999,motilal oswal finvest,Finvest,7900,90.0
MOTILAL OSWAL SECURITIES LIMITED,11678,motilal oswal,motilal,Motilal Oswal M50 ETF,163672,95.19999999999999,motilal oswal,Motilal Oswal M50 ETF,163672,95.19999999999999,motilal oswal,Motilal Oswal M50 ETF,163672,95.19999999999999
Motion Bondco DAC,11083,motion bondco dac,motion,Motion Media,183253,92.39999999999999,motion bondco,Motio,84791,89.0,motion bondco dac,Motio,84791,89.0
Motion Finco S.a r.l.,15397,motion finco r.l.,motion,ACS Motion Control,127840,92.6,motion finco,Motio,84791,89.0,motion finco r.l.,Motio,84791,89.0
MOTIVA ENTERPRISES LLC,21730,motiva enterprises,motiva,Motivating the Masses,130801,92.39999999999999,motiva enterprises,Enterprise,46918,94.2,motiva enterprises,Enterprise,46918,94.2
MOTOR OIL FINANCE PLC,9656,motor oil finance,motor,Motor Trade Finances Limited,37211,95.19999999999999,motor oil,Motor Oil,89520,93.8,motor oil finance,Motor Oil,89520,93.8
MOUNTAIN CAPITAL CLO IV LTD.,14859,mountain capital clo iv,mountain,Rainy Mountain Capital,11573,94.2,mountain capital,Green Mountain Capital,73168,94.2,mountain capital clo,Mountain Cap,10209,93.8
MOUNTAIN MERGER SUB CORPORATION,24715,mountain merger sub corporation,mountain,North Mountain Merger Corporation Class B,198643,95.0,mountain merger,North Mountain Merger Corporation Class B,198643,95.0,mountain merger sub,North Mountain Merger A,137646,83.8
Movida Europe S.A.,15412,movida europe,movida,Movida Participacoes On,216537,91.2,movida europe,Europe,17350,92.6,movida europe,Europe,17350,92.6
Movida Locacao de Veiculos S.A.,4442,movida locacao de veiculos,movida,Movida Participacoes On,216537,91.39999999999999,movida locacao,Vida,13559,85.4,movida locacao de,Vida,13559,85.4
MOY PARK (BONDCO) PLC,9658,moy park (bondco),moy,Moya Asia (Berlin),288005,91.39999999999999,moy park,Ark,32366,86.0,moy park (bondco),Bond,41495,87.6
MP ENVIRONMENTAL FUNDING LLC,22371,mp environmental funding,mp,Olympic Environmental,75557,94.2,mp environmental,Security Environmental,216575,94.0,mp environmental funding,Security Environmental,216575,94.0
MPG HOLDCO I INC.,24006,mpg holdco i,mpg,MPG Office Trust,60656,91.0,mpg holdco,LDC,89398,88.0,mpg holdco i,LDC,89398,88.0
MPS BancaVerde S.p.A.,12276,mps bancaverde,mps,Oamps BNS DEF,152318,91.8,mps bancaverde,Security Banc,76741,88.8,mps bancaverde,Security Banc,76741,88.8
MPS Capital Services Banca per le Imprese SpA,12163,mps capital services banca per le imprese spa,mps,Public Service New Hampshire Preferred 13%,199627,90.2,mps capital,Capital Securities,115447,85.4,mps capital services,Capital Trust,99352,85.4
MPS CAPITAL TRUST I,21659,mps capital i,mps,MPS (National India),222316,92.2,mps capital,Security Capital,76742,94.0,mps capital i,Security Capital,76742,94.0
MPS Capital Trust II,21861,mps capital ii,mps,MPS (National India),222316,93.0,mps capital,Security Capital,200314,93.39999999999999,mps capital ii,Capital Securities,115447,93.39999999999999
MPS Leasing & Factoring SpA,12245,mps leasing & factoring spa,mps,Simpson Manufacturing (Pet),252341,91.8,mps leasing,MPS,102807,84.0,mps leasing &,MPS,102807,84.0
MPT Finance Corp,23490,mpt finance corp,mpt,Jumptv Incorporation,9324,91.2,mpt finance,MTD Finance,20295,87.6,mpt finance corp,MTD Finance,20295,87.6
"MPT Operating Partnership, L.P.",22230,mpt operating partnership,mpt,Brompton Property Group,5887,90.0,mpt operating,Opera Limited,173996,86.6,mpt operating partnership,Artner,107941,87.8
MPX Energia S.A.,4053,mpx energia,mpx,MPX International,84806,92.8,mpx energia,Energia,1580,95.6,mpx energia,Energia,1580,95.6
Mr Green & Co AB (publ),17598,mr green & co (publ),mr,MR Green&,43090,92.39999999999999,mr green,MR Green&,43090,92.39999999999999,mr green &,Gree,106572,86.6
MRCB SOUTHERN LINK BERHAD,15872,mrcb southern link berhad,mrcb,WMRC,51731,73.0,mrcb southern,Southern,132965,89.6,mrcb southern link,Southern,132965,89.6
MRH Capital Trust III,3880,mrh capital iii,mrh,RH,134945,84.8,mrh capital,Capital Securities,115447,92.8,mrh capital iii,Security Capital,200314,92.8
