Target Name,Target No.
Assured Guaranty US Holdings Inc.,21919
Astana-Finance Joint Stock Company,15054
ASTER GROUP LIMITED,9616
Aster Treasury PLC,9622
Asteria Aerospace Pvt Ltd,12013
ASTON MARTIN CAPITAL HOLDINGS LIMITED,12492
ASTON MARTIN CAPITAL LIMITED,12457
Astoria Capital Trust I,21603
ASTRAZENECA FINANCE LLC,25160
AT HOME HOLDING III INC.,23285
AT Securities B.V.,16437
AT&T Latin America Corp.,19642
AT&T Mobility LLC,21681
Atento Luxco 1 S.A.,15256
ATF Capital B.V.,16250
ATF Netherlands B.V.,16423
ATHENE GLOBAL FUNDING,24247
Athlon Holdings LP,23411
Atlanta Gas Light Company,20991
ATLANTIC ASSET SECURITIZATION LLC,22289
"ATLANTIC CAPITAL BANK, NATIONAL ASSOCIATION",22721
Atlantic Power Limited Partnership,4921
ATLANTIC STEWARDSHIP BANK,22661
ATLANTIC UNION BANK,22734
ATLAS COPCO FINANCE DESIGNATED ACTIVITY COMPAN,11080
"Atlas Energy Operating Company, LLC",22430
ATON PER IL PROGETTO S.R.L.,12358
ATOTECH UK TOPCO LIMITED,9881
Atradius Credito y Caucion S.A. de Seguros y R,8080
Atradius Finance B.V.,16229
Atradius Kreditversicherung AG,7638
"Audatex North America, Inc.",22632
AURELIUS Equity Opportunities AB,17705
AURIGENE PHARMACEUTICAL SERVICES LIMITED,11955
AURIZON FINANCE PTY LTD,3552
AURIZON NETWORK PTY LTD,3548
"AURORA USA OIL & GAS, INC.",23353
Ausdrill Finance Pty Ltd.,3537
Ausdrill Limited,2971
Australia & New Zealand Banking Group Ltd (Syd,3617
Australia and New Zealand Bank (China) Company,7044
AUSTRALIA PACIFIC AIRPORTS (MELBOURNE) PTY LIM,3297
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED,3373
Australian Mining & Smelting Pty Ltd,3311
Autoliv Aktiebolag,17424
"AUTOLIV ASP, INC.",22393
AUTOMOTIVE EXCHANGE PRIVATE LIMITED,11860
Autoroutes du Sud de la France,8432
Autostrade per l'Italia S.p.A.,12217
"AUTOVIA DE LOS VINEDOS, SOCIEDAD ANONIMA CONCE",8032
AUTOVIA DEL NOROESTE CONCESIONARIA DE LA COMUN,8148
Autovias S.A.,4216
AUXIFIP S.A.,8577
"AVALANCHE BIOTECHNOLOGIES, INC.",23782
AVANCE-ATLAS INFRATECH PRIVATE LIMITED,11859
AvanStrate Inc.,13551
"AVANTOR FUNDING, INC.",24990
Avanza Bank AB,17696
Avery Dennison Treasury Management B.V.,16404
AVIATION CAPITAL GROUP LLC,22825
"AVIC INTERNATIONAL LEASING CO., LTD.",6750
Avighna Solarfarms Limited,11850
"Avis Budget Car Rental, LLC",22086
Avis Budget Finance PLC,12462
Avista Capital II,21409
AVIV HEALTHCARE PROPERTIES LIMITED PARTNERSHIP,23143
Aviva Investors European Secondary Infrastruct,15304
Aviva-COFCO Life Insurance Company Ltd,7175
AVOCA CREDIT OPPORTUNITIES PUBLIC LIMITED COMP,10971
AVOLON HOLDINGS FUNDING LIMITED,11076
Avon Energy Partners Holdings,8991
"AVON INTERNATIONAL OPERATIONS, INC.",23323
AWG Parent Co Ltd,8813
Axactor AB (publ),16532
Axalta Coating Systems Dutch Holding B B.V.,16336
Axiom Education Pty Ltd,3459
Axovant Sciences Ltd,3916
Axpo Holding AG,5590
Axxiom Solucoes Tecnologicas S.A.,4307
AYC FINANCE LIMITED,14841
AyT Cedulas Cajas Global Fondo de Titulizacion,8055
Ayudhya Capital Auto Lease Public Company Limi,18116
AZARBAYJAN BEYNALKHALG BANKI AChIG SAHMDAR JAM,3707
AZITHROMYCIN ROYALTY SUB LLC,22742
AZUL INVESTMENTS LLP,24578
Azul Linhas Aereas Brasileiras S.A.,4261
AZURIX CORP.,19744
Azzurra Aeroporti SpA,12351
B of A Issuance B.V.,16252
B.A.T. Netherlands Finance B.V.,16363
B.Grimm BIP Power 1 Company Limited,18168
B.Grimm BIP Power 2 Company Limited,18147
B@nca 24-7 S.p.A.,12250
B2W Companhia Global do Varejo,4008
